Gene,count
tet(A),41
sul1,35
qacEdelta1,34
aph(3'')-Ib,28
aph(6)-Id,27
sul2,26
blaTEM-1,26
aadA1,22
floR,20
aph(3')-Ia,15
blaCMY-2,15
aadA2,12
tet(B),11
aac(3)-VIa,11
fosA7,8
blaCARB-2,8
tet(G),7
qnrB19,5
aadA7,4
dfrA14,4
dfrA12,4
fosA7.2,4
estX-3,3
dfrA8,3
aac(3)-IId,3
aac(3)-IVa,3
aph(4)-Ia,3
dfrA1,3
qnrS1,3
aadA12,3
catA1,2
aac(3)-Id,2
tet(M),2
blaHER-3,2
bleO,2
qacL,2
sul3,2
mph(B),1
blaOXA-2,1
dfrA29,1
mcr-1.1,1
blaCTX-M-32,1
blaTEM,1
qnrA1,1
qacE,1
blaCTX-M-14,1
blaLAP-2,1
mph(A),1
mrx(A),1
aadA5,1
dfrA17,1
floR2,1
blaKPC-2,1
fosA7.7,1
aph(3')-IIa,1
ble,1
aph(6)-Ic,1
oqxB,1
oqxA,1
fosA7.3,1
blaFOX-5,1
mph(E),1
msr(E),1
cmlA5,1
ant(2'')-Ia,1
dfrA34,1
aadA6,1
tet(O),1
dfrA5,1
cmlA1,1
blaTEM-135,1
