Genome,Gene
GCF_001474445.1_Salmonella_enterica_CVM_43777_v1.0_genomic,14
GCF_001474545.1_Salmonella_enterica_CVM_43788_v1.0_genomic,14
GCF_001475065.1_Salmonella_enterica_CVM_43838_v1.0_genomic,12
GCF_001078155.1_ASM107815v1_genomic,11
GCF_001473595.1_Salmonella_enterica_CVM_43787_v1.0_genomic,11
GCF_001474845.1_Salmonella_enterica_CVM_43817_v1.0_genomic,10
GCF_001474885.1_Salmonella_enterica_CVM_43818_v1.0_genomic,10
GCF_001473635.1_Salmonella_enterica_CVM_43793_v1.0_genomic,9
GCF_001473425.1_Salmonella_enterica_CVM_43765_v1.0_genomic,9
GCF_001473625.1_Salmonella_enterica_CVM_43790_v1.0_genomic,8
GCF_001474335.1_Salmonella_enterica_CVM_43770_v1.0_genomic,8
GCF_001475085.1_Salmonella_enterica_CVM_43840_v1.0_genomic,8
GCF_001473345.1_Salmonella_enterica_CVM_43745_v1.0_genomic,8
GCF_001473845.1_Salmonella_enterica_CVM_43828_v1.0_genomic,7
GCF_001473505.1_Salmonella_enterica_CVM_43778_v1.0_genomic,7
GCF_001474095.1_Salmonella_enterica_CVM_43752_v1.0_genomic,7
GCF_001474915.1_Salmonella_enterica_CVM_43821_v1.0_genomic,7
GCF_001474605.1_Salmonella_enterica_CVM_43792_v1.0_genomic,7
GCF_001474415.1_Salmonella_enterica_CVM_43776_v1.0_genomic,7
GCF_001474485.1_Salmonella_enterica_CVM_43780_v1.0_genomic,6
GCF_001474805.1_Salmonella_enterica_CVM_43809_v1.0_genomic,6
GCF_001474575.1_Salmonella_enterica_CVM_43791_v1.0_genomic,6
GCF_001475045.1_Salmonella_enterica_CVM_43833_v1.0_genomic,6
GCF_001474985.1_Salmonella_enterica_CVM_43829_v1.0_genomic,6
GCF_001474905.1_Salmonella_enterica_CVM_43824_v1.0_genomic,6
GCF_001474825.1_Salmonella_enterica_CVM_43810_v1.0_genomic,6
GCF_001474165.1_Salmonella_enterica_CVM_43758_v1.0_genomic,6
GCF_001443185.1_ASM144318v1_genomic,6
GCF_001473405.1_Salmonella_enterica_CVM_43759_v1.0_genomic,6
GCF_001474645.1_Salmonella_enterica_CVM_43795_v1.0_genomic,6
GCF_001473945.1_Salmonella_enterica_CVM_43843_v1.0_genomic,6
GCF_001473705.1_Salmonella_enterica_CVM_43807_v1.0_genomic,6
GCF_001473725.1_Salmonella_enterica_CVM_43814_v1.0_genomic,6
GCF_001473915.1_Salmonella_enterica_CVM_43839_v1.0_genomic,6
GCF_001474225.1_Salmonella_enterica_CVM_43763_v1.0_genomic,6
GCF_001474205.1_Salmonella_enterica_CVM_43761_v1.0_genomic,6
GCF_001474255.1_Salmonella_enterica_CVM_43766_v1.0_genomic,6
GCF_001474305.1_Salmonella_enterica_CVM_43768_v1.0_genomic,6
GCF_001474355.1_Salmonella_enterica_CVM_43771_v1.0_genomic,6
GCF_001474005.1_Salmonella_enterica_CVM_43746_v1.0_genomic,6
GCF_001475165.1_Salmonella_enterica_CVM_43845_v1.0_genomic,5
GCF_001473435.1_Salmonella_enterica_CVM_43762_v1.0_genomic,5
GCF_001473585.1_Salmonella_enterica_CVM_43786_v1.0_genomic,5
GCF_001475175.1_Salmonella_enterica_CVM_43846_v1.0_genomic,5
GCF_001475215.1_Salmonella_enterica_CVM_43811_v1.0_genomic,5
GCF_001475145.1_Salmonella_enterica_CVM_43844_v1.0_genomic,5
GCF_001474835.1_Salmonella_enterica_CVM_43813_v1.0_genomic,5
GCF_001474465.1_Salmonella_enterica_CVM_43779_v1.0_genomic,5
GCF_001475105.1_Salmonella_enterica_CVM_43841_v1.0_genomic,5
GCF_001473985.1_Salmonella_enterica_CVM_43744_v1.0_genomic,5
GCF_001474385.1_Salmonella_enterica_CVM_43773_v1.0_genomic,5
GCF_001474045.1_Salmonella_enterica_CVM_43749_v1.0_genomic,5
GCF_001474125.1_Salmonella_enterica_CVM_43754_v1.0_genomic,5
GCF_001474565.1_Salmonella_enterica_CVM_43789_v1.0_genomic,4
GCF_001473735.1_Salmonella_enterica_CVM_43816_v1.0_genomic,4
GCF_001473885.1_Salmonella_enterica_CVM_43836_v1.0_genomic,4
GCF_001473865.1_Salmonella_enterica_CVM_43832_v1.0_genomic,4
GCF_001473965.1_Salmonella_enterica_CVM_43743_v1.0_genomic,4
GCF_001474065.1_Salmonella_enterica_CVM_43750_v1.0_genomic,4
GCF_001474325.1_Salmonella_enterica_CVM_43769_v1.0_genomic,4
GCF_001473905.1_Salmonella_enterica_CVM_43837_v1.0_genomic,4
GCF_001474135.1_Salmonella_enterica_CVM_43755_v1.0_genomic,4
GCF_001473785.1_Salmonella_enterica_CVM_43822_v1.0_genomic,3
GCF_001474515.1_Salmonella_enterica_CVM_43785_v1.0_genomic,3
GCF_001473385.1_Salmonella_enterica_CVM_43757_v1.0_genomic,3
GCF_001474995.1_Salmonella_enterica_CVM_43830_v1.0_genomic,3
GCF_001473665.1_Salmonella_enterica_CVM_43799_v1.0_genomic,3
GCF_001473765.1_Salmonella_enterica_CVM_43819_v1.0_genomic,2
GCF_001474505.1_Salmonella_enterica_CVM_43782_v1.0_genomic,2
GCF_001473545.1_Salmonella_enterica_CVM_43783_v1.0_genomic,2
GCF_001473315.1_Salmonella_enterica_CVM_43747_v1.0_genomic,2
GCF_000783815.2_ASM78381v2_genomic,2
